phase,epoch,loss,accuracy,global_epoch
1,1,3.6957,0.1032,1
1,1,2.3332,0.602,2
1,1,1.5077,0.7575,3
1,1,1.2287,0.7903,4
1,1,1.0263,0.8363,5
1,1,0.9538,0.8419,6
1,1,0.8862,0.8584,7
1,1,0.8406,0.8616,8
1,1,0.7994,0.8673,9
1,1,0.7807,0.8755,10
1,1,0.7417,0.8742,11
1,1,0.6961,0.8856,12
1,1,0.6882,0.8836,13
1,1,0.6958,0.8755,14
1,1,0.6602,0.8824,15
1,1,0.6636,0.8846,16
1,1,0.6423,0.8891,17
1,1,0.6321,0.8854,18
1,1,0.6028,0.9088,19
1,1,0.5931,0.8942,20
1,1,0.5965,0.9011,21
1,1,0.5791,0.9,22
1,1,0.574,0.8987,23
1,1,0.5602,0.9077,24
1,1,0.5681,0.9085,25
1,1,0.5687,0.8996,26
1,1,0.5558,0.9091,27
1,1,0.5482,0.9113,28
1,1,0.5516,0.9094,29
1,1,0.5566,0.8988,30
2,1,0.7707,0.9998,31
2,1,0.7277,0.9998,32
2,1,0.7203,0.9998,33
2,1,0.7178,0.9998,34
2,1,0.7164,0.9998,35
2,1,0.7156,0.9998,36
2,1,0.7153,0.9998,37
2,1,0.715,0.9998,38
2,1,0.715,0.9998,39
2,2,0.7148,0.9998,40
